method,size_label,repeat,device,num_graphs,batch_size,epochs,warmup_epochs,min_nodes,max_nodes,avg_extra_degree,param_count,preprocess_s,train_measured_s,mean_epoch_s,median_epoch_s,std_epoch_s,graphs_per_s,final_loss,avg_nodes,avg_directed_edges,avg_sparse_pairs,avg_triangle_triples,rss_start_mb,rss_peak_mb,rss_end_mb,cuda_peak_allocated_mb,cuda_peak_reserved_mb
grit_dense_rrwp_proxy,12,0,cpu,4,2,2,1,12,12,0.5,347793,0.007232000003568828,0.021849874989129603,0.021849874989129603,0.021849874989129603,0.0,183.06740894353013,1.7396548390388489,12.0,26.5,0.0,0.0,196.875,282.25,282.25,0.0,0.0
csa_static_anchor,12,0,cpu,4,2,2,1,12,12,0.5,362593,0.00895891699474305,0.02980625000782311,0.02980625000782311,0.02980625000782311,0.0,134.20004190229022,0.7023549675941467,12.0,26.5,0.0,0.0,282.25,286.625,286.625,0.0,0.0
graphgrape_v21_spd2,12,0,cpu,4,2,2,1,12,12,0.5,499603,0.015217625012155622,0.06266229198081419,0.06266229198081419,0.06266229198081419,0.0,63.83424342704719,0.43398258090019226,12.0,26.5,78.0,294.0,286.625,300.875,300.875,0.0,0.0
graphgrape_v21_spd3,12,0,cpu,4,2,2,1,12,12,0.5,499603,0.014788625005166978,0.06506879202788696,0.06506879202788696,0.06506879202788696,0.0,61.47340184655178,0.43507158756256104,12.0,26.5,116.0,822.5,300.875,307.578125,307.578125,0.0,0.0
graphgrape_v21_triangle_spd2,12,0,cpu,4,2,2,1,12,12,0.5,542493,0.015758209046907723,0.07250800001202151,0.07250800001202151,0.07250800001202151,0.0,55.16632646517374,1.487846851348877,12.0,26.5,78.0,294.0,307.578125,313.390625,313.359375,0.0,0.0
graphgrape_v21_triangle_spd3,12,0,cpu,4,2,2,1,12,12,0.5,542493,0.01570945797720924,0.09972237498732284,0.09972237498732284,0.09972237498732284,0.0,40.1113591659695,1.4850585460662842,12.0,26.5,116.0,822.5,313.359375,333.859375,333.859375,0.0,0.0
