method,size_label,repeat,device,num_graphs,batch_size,epochs,warmup_epochs,min_nodes,max_nodes,avg_extra_degree,param_count,preprocess_s,train_measured_s,mean_epoch_s,median_epoch_s,std_epoch_s,graphs_per_s,final_loss,avg_nodes,avg_directed_edges,avg_sparse_pairs,avg_triangle_triples,rss_start_mb,rss_peak_mb,rss_end_mb,cuda_peak_allocated_mb,cuda_peak_reserved_mb
csa_static_anchor,16,0,cpu,8,4,2,1,16,16,0.5,362593,0.044377957994583994,0.03291595802875236,0.03291595802875236,0.03291595802875236,0.0,243.0432069761401,1.3921359181404114,16.0,37.0,0.0,0.0,196.796875,289.40625,289.375,0.0,0.0
graphgrape_v21_spd2,16,0,cpu,8,4,2,1,16,16,0.5,499603,0.0405025000218302,0.08640087494859472,0.08640087494859472,0.08640087494859472,0.0,92.59165494284288,1.422127604484558,16.0,37.0,115.75,468.75,289.375,338.4375,338.4375,0.0,0.0
csa_static_anchor,32,0,cpu,8,4,2,1,32,32,0.5,362593,0.0516461250372231,0.0467199589475058,0.0467199589475058,0.0467199589475058,0.0,171.23302717343438,2.5632702112197876,32.0,76.5,0.0,0.0,338.4375,342.4375,342.4375,0.0,0.0
graphgrape_v21_spd2,32,0,cpu,8,4,2,1,32,32,0.5,499603,0.126060500042513,0.13100762502290308,0.13100762502290308,0.13100762502290308,0.0,61.06514791487457,0.978058248758316,32.0,76.5,265.5,1243.0,342.4375,391.25,391.21875,0.0,0.0
